nofinesset;nofinessej;rs;rslongue;numvoie;typvoie;voie;compvoie;lieuditbp;commune;departement;libdepartement;ligneachimenement;libcategetab;libcategagretab;codeape;codemft;libmft;codesph;libsph;ville
10000024;10780054;CH DE FLEYRIAT;CENTRE HOSPITALIER DE BOURG-EN-BRESSE FLEYRIAT;900.0;RTE;DE PARIS;;;451.0;1;AIN;01440 VIRIAT;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;VIRIAT
10000032;10780062;CH BUGEY SUD;CENTRE HOSPITALIER BUGEY SUD;700.0;AV;DE NARVIK;;BP 139;34.0;1;AIN;01300 BELLEY;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BELLEY
10000065;10780096;CH DE TREVOUX - MONTPENSIER;CENTRE HOSPITALIER DE TREVOUX - MONTPENSIER;14.0;R;DE L'HOPITAL;;BP 615;427.0;1;AIN;01606 TREVOUX CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;TREVOUX
10000081;10780112;CH DU PAYS DE GEX;CENTRE HOSPITALIER DU PAYS DE GEX;160.0;R;MARC PANISSOD;;BP 437;173.0;1;AIN;01174 GEX CEDEX;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;GEX
10000099;10780120;CH DE MEXIMIEUX;CENTRE HOSPITALIER DE MEXIMIEUX;13.0;AV;DU DOCTEUR BOYER;;;244.0;1;AIN;01800 MEXIMIEUX;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MEXIMIEUX
10000107;10780138;CH DE PONT DE VAUX;CENTRE HOSPITALIER DE PONT DE VAUX;;CHE;DES NIVRES;;BP 55;305.0;1;AIN;01190 PONT DE VAUX;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;PONT DE VAUX
10000115;10009132;CHI AIN VAL DE SAONE - PONT VEYLE;CH INTERCOMMUNAL AIN VAL DE SAONE - PONT DE VEYLE;;R;PIERRE GOUJON;;BP 68;306.0;1;AIN;01290 PONT DE VEYLE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;PONT DE VEYLE
10000131;10009132;CHI AIN VAL DE SAONE - THOISSEY;CH INTERCOMMUNAL AIN VAL DE SAONE - THOISSEY;11.0;R;DE L HOPITAL;;;420.0;1;AIN;01140 THOISSEY;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;THOISSEY
10000180;10007987;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE ESPERANCE;;AV;FELIX MANGINI;;BP 41;185.0;1;AIN;01110 PLATEAU D HAUTEVILLE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;PLATEAU D HAUTEVILLE
10000198;10007987;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE INTERDEPT;;AV;FELIX MANGINI;;BP 41;185.0;1;AIN;01110 PLATEAU D HAUTEVILLE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;PLATEAU D HAUTEVILLE
10000214;10007987;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE ALBARINE;;AV;FELIX MANGINI;;BP 41;185.0;1;AIN;01110 PLATEAU D HAUTEVILLE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;PLATEAU D HAUTEVILLE
10005239;10008407;CH DU HAUT BUGEY - GEOVREISSET;CENTRE HOSPITALIER DU HAUT BUGEY - GEOVREISSET;1.0;RTE;DE VEYZIAT;;BP 818;283.0;1;AIN;01108 OYONNAX CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;OYONNAX
10009314;10780054;SSR HOTEL DIEU DE FLEYRIAT;SSR HOTEL DIEU DE FLEYRIAT;47.0;BD;DE BROU;;;53.0;1;AIN;01000 BOURG EN BRESSE;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BOURG EN BRESSE
10010163;730000015;LBM DU CH CHAMBERY AIX - SITE BELLEY;LBM DU CH DE CHAMBERY AIX - SITE DE BELLEY;52.0;R;GEORGES GIRERD;;;34.0;1;AIN;01300 BELLEY;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BELLEY
10786879;10780062;CPEF DE BELLEY;CENTRE DE PLANIFICATION OU D'EDUCATION FAMILIALE DE BELLEY;52.0;R;GEORGES GIRERD;;;34.0;1;AIN;01300 BELLEY;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BELLEY
20000089;20000022;CH GUISE;CENTRE HOSPITALIER DE GUISE;858.0;R;DES DOCTEURS DEVILLERS;;;361.0;2;AISNE;02120 GUISE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;GUISE
20000097;20000048;CH LA FÈRE;;2.0;AV;DUPUIS;;;304.0;2;AISNE;02800 LA FERE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LA FERE
20000105;20000055;CH LE NOUVION-EN-THIÉRACHE;;40.0;R;ANDRÉ RIDDERS;;BP 16;558.0;2;AISNE;02170 LE NOUVION EN THIERACHE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LE NOUVION EN THIERACHE
20000162;20000063;CH SAINT-QUENTIN;;1.0;R;MICHEL DE L'HOSPITAL;;BP 608;691.0;2;AISNE;02321 ST QUENTIN CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST QUENTIN
20000246;20000071;CH VERVINS;;20.0;PL;DE LA LIBERTÉ;;;789.0;2;AISNE;02140 VERVINS;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;VERVINS
20000394;20000253;CH LAON;;33.0;R;MARCELIN BERTHELOT;;;408.0;2;AISNE;02001 LAON CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LAON
20000519;20000261;CH SOISSONS;;46.0;AV;DU GÉNÉRAL DE GAULLE;;;722.0;2;AISNE;02209 SOISSONS CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;SOISSONS
20000535;20000287;CH CHAUNY;;94.0;SQ;DES ANCIENS COMBATTANTS;;;173.0;2;AISNE;02303 CHAUNY CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;CHAUNY
20000915;20003620;SSR JACQUES FICHEUX SAINT-GOBAIN;;;RTE;DE SAINT-NICOLAS;;;680.0;2;AISNE;02410 ST GOBAIN;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST GOBAIN
20001061;20004404;CH CHÂTEAU-THIERRY;;;RTE;DE VERDILLY;;;168.0;2;AISNE;02400 CHATEAU THIERRY;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;CHATEAU THIERRY
20001087;20004495;CH HIRSON;;40.0;R;AUX LOUPS;;;381.0;2;AISNE;02500 HIRSON;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;HIRSON
20003877;20000253;SSR CH LAON;;38.0;R;MARGUERITE CLERBOUT;;SEMILLY-SOUS-LAON;408.0;2;AISNE;02000 LAON;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LAON
20004388;20000063;CPEF CH SAINT-QUENTIN;;1.0;R;MICHEL DE L'HOSPITAL;;;691.0;2;AISNE;02321 ST QUENTIN CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8621Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST QUENTIN
20006664;20000063;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;;241.0;R;DE FAYET;;;691.0;2;AISNE;02321 ST QUENTIN CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST QUENTIN
20016366;20000063;SMUR CH SAINT-QUENTIN GUISE;;858.0;R;DES DOCTEURS DEVILLERS;;;361.0;2;AISNE;02120 GUISE;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;GUISE
30000012;30780100;CH DE NERIS LES BAINS;CENTRE HOSPITALIER DE NERIS-LES-BAINS;16.0;R;VOLTAIRE;;;195.0;3;ALLIER;03310 NERIS LES BAINS;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;NERIS LES BAINS
30000061;30780092;CH DE MOULINS;CENTRE HOSPITALIER DE MOULINS;10.0;AV;DU GENERAL DE GAULLE;;BP 609;190.0;3;ALLIER;03006 MOULINS CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MOULINS
30000079;30780100;CH DE MONTLUCON;CENTRE HOSPITALIER DE MONTLUCON;18.0;AV;DU 8 MAI 1945;;;185.0;3;ALLIER;03109 MONTLUCON CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MONTLUCON
30000087;30780118;CH JACQUES LACARIN VICHY;;;BD;DENIERE;;BP 2757;310.0;3;ALLIER;03201 VICHY CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;VICHY
30000095;30780126;CH DE BOURBON L'ARCHAMBAULT;CENTRE HOSPITALIER DE BOURBON L'ARCHAMBAULT;;;;;GAUTRINIERE;36.0;3;ALLIER;03160 BOURBON L ARCHAMBAULT;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BOURBON L ARCHAMBAULT
30002208;30002158;CH DPT COEUR DU BOURBONNAIS TRONGET;CENTRE HOSPITALIER DPT COEUR DU BOURBONNAIS;;;;;LES COMBES;292.0;3;ALLIER;03240 TRONGET;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;TRONGET
30007835;30780092;MAISON COMMUNAUTAIRE;MAISON COMMUNAUTAIRE;22.0;R;DELORME;;;190.0;3;ALLIER;03000 MOULINS;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MOULINS
30007843;30780092;HOPITAL DE JOUR ADULTE DENIS PAPIN;HOPITAL DE JOUR ADULTE DENIS PAPIN;15.0;R;DENIS PAPIN;;;190.0;3;ALLIER;03000 MOULINS;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MOULINS
