patho_niv3;sexe;dept;ville;nb_hab;prev;nb_malades;index
Cancer du poumon actif;1;77;Mouroux;5654;0.456;25;0
Cancer du poumon actif;1;77;Trilport;5045;0.456;23;1
Cancer du poumon actif;1;77;Lognes;14353;0.456;65;2
Cancer du poumon actif;1;77;La Grande-Paroisse;2833;0.456;12;3
Cancer du poumon actif;1;77;Chauconin-Neufmontiers;3554;0.456;16;4
Cancer du poumon actif;1;77;Souppes-sur-Loing;5383;0.456;24;5
Cancer du poumon actif;1;77;Nangis;8867;0.456;40;6
Cancer du poumon actif;1;77;Émerainville;7659;0.456;34;7
Cancer du poumon actif;1;77;Servon;3288;0.456;14;8
Cancer du poumon actif;1;77;La Rochette;3778;0.456;17;9
Cancer du poumon actif;1;77;Saint-Fargeau-Ponthierry;14121;0.456;64;10
Cancer du poumon actif;1;77;Héricy;2545;0.456;11;11
Cancer du poumon actif;1;77;Bois-le-Roi;5913;0.456;26;12
Cancer du poumon actif;1;77;Chartrettes;2543;0.456;11;13
Cancer du poumon actif;1;77;Champagne-sur-Seine;6353;0.456;28;14
Cancer du poumon actif;1;77;Bourron-Marlotte;2763;0.456;12;15
Cancer du poumon actif;1;77;Chelles;55154;0.456;251;16
Cancer du poumon actif;1;77;Serris;9494;0.456;43;17
Cancer du poumon actif;1;77;Ozoir-la-Ferrière;20532;0.456;93;18
Cancer du poumon actif;1;77;Pringy;2954;0.456;13;19
Cancer du poumon actif;1;77;Combs-la-Ville;21627;0.456;98;20
Cancer du poumon actif;1;77;Annet-sur-Marne;3281;0.456;14;21
Cancer du poumon actif;1;77;Évry-Grégy-sur-Yerre;3025;0.456;13;22
Cancer du poumon actif;1;77;Nemours;13088;0.456;59;23
Cancer du poumon actif;1;77;Savigny-le-Temple;29987;0.456;136;24
Cancer du poumon actif;1;77;Avon;13419;0.456;61;25
Cancer du poumon actif;1;77;Coupvray;2871;0.456;13;26
Cancer du poumon actif;1;77;Grisy-Suisnes;2532;0.456;11;27
Cancer du poumon actif;1;77;Gretz-Armainvilliers;8476;0.456;38;28
Cancer du poumon actif;1;77;Jouarre;4349;0.456;19;29
Cancer du poumon actif;1;77;Crécy-la-Chapelle;4713;0.456;21;30
Cancer du poumon actif;1;77;Moissy-Cramayel;17849;0.456;81;31
Cancer du poumon actif;1;77;Moret-sur-Loing;4188;0.456;19;32
Cancer du poumon actif;1;77;Fontenay-Trésigny;5710;0.456;26;33
Cancer du poumon actif;1;77;Château-Landon;2947;0.456;13;34
Cancer du poumon actif;1;77;Lésigny;7151;0.456;32;35
Cancer du poumon actif;1;77;Thorigny-sur-Marne;10454;0.456;47;36
Cancer du poumon actif;1;77;Vert-Saint-Denis;8238;0.456;37;37
Cancer du poumon actif;1;77;Thomery;3420;0.456;15;38
Cancer du poumon actif;1;77;Saint-Pathus;6110;0.456;27;39
Cancer du poumon actif;1;77;Moussy-le-Neuf;3160;0.456;14;40
Cancer du poumon actif;1;77;Noisiel;15960;0.456;72;41
Cancer du poumon actif;1;77;Rubelles;2831;0.456;12;42
Cancer du poumon actif;1;77;Esbly;6404;0.456;29;43
Cancer du poumon actif;1;77;La Ferté-sous-Jouarre;9637;0.456;43;44
Cancer du poumon actif;1;77;Pomponne;4183;0.456;19;45
Cancer du poumon actif;1;77;Guérard;2621;0.456;11;46
Cancer du poumon actif;1;77;Mitry-Mory;20648;0.456;94;47
Cancer du poumon actif;1;77;Roissy-en-Brie;22851;0.456;104;48
Cancer du poumon actif;1;77;Le Mée-sur-Seine;20917;0.456;95;49
Cancer du poumon actif;1;77;Chessy;6304;0.456;28;50
Cancer du poumon actif;1;77;Varennes-sur-Seine;3601;0.456;16;51
Cancer du poumon actif;1;77;Lagny-sur-Marne;21539;0.456;98;52
Cancer du poumon actif;1;77;Torcy;22030;0.456;100;53
Cancer du poumon actif;1;77;Melun;40844;0.456;186;54
Cancer du poumon actif;1;77;Fontainebleau;15696;0.456;71;55
Cancer du poumon actif;1;77;Provins;12132;0.456;55;56
Cancer du poumon actif;1;77;Meaux;55750;0.456;254;57
Cancer du poumon actif;1;77;Cesson;10833;0.456;49;58
Cancer du poumon actif;1;77;Montereau-Fault-Yonne;21229;0.456;96;59
Cancer du poumon actif;1;77;Champs-sur-Marne;25654;0.456;116;60
Cancer du poumon actif;1;77;Vaux-le-Pénil;11101;0.456;50;61
Cancer du poumon actif;1;77;Donnemarie-Dontilly;2775;0.456;12;62
Cancer du poumon actif;1;77;Saint-Mard;3875;0.456;17;63
Cancer du poumon actif;1;77;Saint-Soupplets;3224;0.456;14;64
Cancer du poumon actif;1;77;Guignes;4296;0.456;19;65
Cancer du poumon actif;1;77;Dammarie-les-Lys;22128;0.456;100;66
Cancer du poumon actif;1;77;Vernou-la-Celle-sur-Seine;2643;0.456;12;67
Cancer du poumon actif;1;77;Brie-Comte-Robert;18812;0.456;85;68
Cancer du poumon actif;1;77;Bailly-Romainvilliers;7416;0.456;33;69
Cancer du poumon actif;1;77;Dammartin-en-Goële;10355;0.456;47;70
Cancer du poumon actif;1;77;Brou-sur-Chantereine;4809;0.456;21;71
Cancer du poumon actif;1;77;Coulommiers;14779;0.456;67;72
Cancer du poumon actif;1;77;Pommeuse;2966;0.456;13;73
Cancer du poumon actif;1;77;Tournan-en-Brie;8521;0.456;38;74
Cancer du poumon actif;1;77;Bussy-Saint-Georges;26597;0.456;121;75
Cancer du poumon actif;1;77;Lizy-sur-Ourcq;3533;0.456;16;76
Cancer du poumon actif;1;77;Nandy;6235;0.456;28;77
Cancer du poumon actif;1;77;Claye-Souilly;12172;0.456;55;78
Cancer du poumon actif;1;77;Le Châtelet-en-Brie;4339;0.456;19;79
Cancer du poumon actif;1;77;Collégien;3359;0.456;15;80
Cancer du poumon actif;1;77;Boissise-le-Roi;3739;0.456;17;81
Cancer du poumon actif;1;77;Boissy-le-Châtel;3216;0.456;14;82
Cancer du poumon actif;1;77;Crégy-lès-Meaux;5223;0.456;23;83
Cancer du poumon actif;1;77;Lieusaint;13853;0.456;63;84
Cancer du poumon actif;1;77;Verneuil-l'Étang;3204;0.456;14;85
Cancer du poumon actif;1;77;Ferrières-en-Brie;3768;0.456;17;86
Cancer du poumon actif;1;77;Veneux-les-Sablons;4696;0.456;21;87
Cancer du poumon actif;1;77;Faremoutiers;2944;0.456;13;88
Cancer du poumon actif;1;77;Saint-Pierre-lès-Nemours;5394;0.456;24;89
Cancer du poumon actif;1;77;Montévrain;13517;0.456;61;90
Cancer du poumon actif;1;77;Villeparisis;26580;0.456;121;91
Cancer du poumon actif;1;77;Chanteloup-en-Brie;3991;0.456;18;92
Cancer du poumon actif;1;77;La Ferté-Gaucher;4933;0.456;22;93
Cancer du poumon actif;1;77;Magny-le-Hongre;9107;0.456;41;94
Cancer du poumon actif;1;77;Vulaines-sur-Seine;2748;0.456;12;95
Cancer du poumon actif;1;77;Courtry;6698;0.456;30;96
Cancer du poumon actif;1;77;Dampmart;3417;0.456;15;97
Cancer du poumon actif;1;77;Chevry-Cossigny;3927;0.456;17;98
Cancer du poumon actif;1;77;Vaires-sur-Marne;13368;0.456;60;99
Cancer du poumon actif;1;77;Pontault-Combault;37617;0.456;171;100
Cancer du poumon actif;1;77;Saint-Germain-sur-Morin;3770;0.456;17;101
Cancer du poumon actif;1;77;Chaumes-en-Brie;3339;0.456;15;102
Cancer du poumon actif;1;77;Villenoy;4975;0.456;22;103
Cancer du poumon actif;1;77;Rozay-en-Brie;2808;0.456;12;104
Cancer du poumon actif;1;77;Saint-Mammès;3391;0.456;15;105
Cancer du poumon actif;1;77;Quincy-Voisins;5439;0.456;24;106
Cancer du poumon actif;1;77;Saint-Thibault-des-Vignes;6354;0.456;28;107
Cancer du poumon actif;1;77;Saint-Germain-Laval;2707;0.456;12;108
Cancer du poumon actif;1;77;Othis;6725;0.456;30;109
Cancer du poumon actif;1;77;Nanteuil-lès-Meaux;6225;0.456;28;110
Cancer du poumon actif;1;77;Mormant;5014;0.456;22;111
Cancer du poumon actif;1;77;Montry;3705;0.456;16;112
Cancer du poumon actif;1;77;Montigny-sur-Loing;2660;0.456;12;113
Cancer du poumon actif;1;77;Mareuil-lès-Meaux;3231;0.456;14;114
Cancer du poumon actif;1;77;Orvanne;6795;0.456;30;115
Cancer du poumon actif;1;77;Moret Loing et Orvanne;4355;0.456;19;116
Cancer du poumon actif;1;77;Moret-Loing-et-Orvanne;12223;0.456;55;117
Cancer du poumon actif;1;93;Bobigny;54363;0.429;233;118
Cancer du poumon actif;1;93;Saint-Denis;112852;0.429;484;119
Cancer du poumon actif;1;93;Le Pré-Saint-Gervais;17351;0.429;74;120
Cancer du poumon actif;1;93;Gagny;39661;0.429;170;121
