"toInteger(e.departement)","AVG(toFloat(m.prev))"
"1","0.41012426422498327"
"2","0.5762410526315793"
"3","0.5790103806228376"
"4","0.4673560767590617"
"5","0.40207438016528907"
"6","0.49132897603485814"
"7","0.43164757709251067"
"8","0.5958873239436617"
"9","0.5045023255813953"
"10","0.5330276679841903"
"11","0.5527384792626738"
"12","0.4729715639810428"
"13","0.49195590062111844"
"14","0.5363871595330747"
"15","0.5338580246913582"
"16","0.4792128378378377"
"17","0.5523116591928239"
"18","0.5806967741935483"
"19","0.5253836206896559"
"21","0.4680471014492755"
"22","0.504980606060606"
"23","0.5101923076923078"
"24","0.6073911007025765"
"25","0.42906340057636877"
"26","0.4544877384196184"
"27","0.5469317365269456"
"28","0.48258333333333353"
"29","0.6019848171152523"
"30","0.49333586337760876"
"31","0.5187584745762712"
"32","0.5157547619047619"
"33","0.5720832618025754"
"34","0.5798510903426791"
"35","0.41593542953397034"
"36","0.5327935034802779"
"37","0.5290034965034973"
"38","0.3950104395604397"
"39","0.4852750000000003"
"40","0.5099576427255983"
"41","0.5417730263157895"
"42","0.4314035476718401"
"43","0.5021307189542483"
"44","0.47963353535353515"
"45","0.5422755344418047"
"46","0.5019999999999999"
"47","0.5006751054852324"
"48","0.47557142857142864"
"49","0.5122343387470988"
"50","0.5198268041237107"
"51","0.5620459016393439"
"52","0.5260227272727275"
"53","0.4187133105802049"
"54","0.5779140435835352"
"55","0.6182342192691034"
"56","0.49346304957904574"
"57","0.5157538677918428"
"58","0.5962512077294686"
"59","0.6439364205892307"
"60","0.4987869918699185"
"61","0.6095843780134999"
"62","0.6504743772241988"
"63","0.49505142857142864"
"64","0.5035466926070036"
"65","0.5360703883495137"
"66","0.579973597359736"
"67","0.45807093596059095"
"68","0.4691839407744878"
"69","0.4272296258329068"
"70","0.43753012048192763"
"71","0.47974313408723734"
"72","0.5274219330855014"
"73","0.33708708708708757"
"74","0.37820126671358123"
"75","0.4224282460136669"
"76","0.5759570999571004"
"77","0.4339434420015165"
"78","0.42597414383561666"
"79","0.48718424753867806"
"80","0.5899890909090905"
"81","0.5449659751037348"
"82","0.4949281553398059"
"83","0.4637528363046997"
"84","0.48160863095238116"
"85","0.5247008547008548"
"87","0.45306282722513075"
"88","0.5188744292237453"
"89","0.5233471074380173"
"90","0.4417250000000002"
"91","0.4170766165316886"
"92","0.4227564239828702"
"93","0.4306356154133935"
"94","0.4203624211853729"
"95","0.43506365228138844"
