"d","totalInhabitants"
"1","390732.0"
"2","227265.0"
"3","179477.0"
"4","92498.0"
"5","70687.0"
"6","972798.0"
"7","128623.0"
"8","152801.0"
"9","62000.0"
"10","107431.0"
"11","206818.0"
"12","126967.0"
"13","2005266.0"
"14","411664.0"
"15","46163.0"
"16","177516.0"
"17","368658.0"
"18","155418.0"
"19","123620.0"
"20","0"
"21","305743.0"
"22","378079.0"
"23","20964.0"
"24","180626.0"
"25","302757.0"
"26","339746.0"
"27","312961.0"
"28","246088.0"
"29","714777.0"
"30","536990.0"
"31","1161511.0"
"32","63822.0"
"33","1296606.0"
"34","996946.0"
"35","842980.0"
"36","115921.0"
"37","430625.0"
"38","918354.0"
"39","91152.0"
"40","231652.0"
"41","176809.0"
"42","565227.0"
"43","108021.0"
"44","1350115.0"
"45","481303.0"
"46","47366.0"
"47","163696.0"
"48","0"
"49","863620.0"
"50","422096.0"
"51","305454.0"
"52","61868.0"
"53","179530.0"
"54","481855.0"
"55","62693.0"
"56","574685.0"
"57","756475.0"
"58","89625.0"
"59","2230030.0"
"60","471572.0"
"61","134972.0"
"62","1062635.0"
"63","418308.0"
"64","445310.0"
"65","111656.0"
"66","385424.0"
"67","797745.0"
"68","512722.0"
"69","693793.0"
"70","71510.0"
"71","267493.0"
"72","333266.0"
"73","290771.0"
"74","742062.0"
"75","0"
"76","922225.0"
"77","1130636.0"
"78","1349277.0"
"79","234993.0"
"80","258267.0"
"81","235506.0"
"82","150808.0"
"83","1002159.0"
"84","474471.0"
"85","555058.0"
"86","286805.0"
"87","243471.0"
"88","189333.0"
"89","136674.0"
"90","86807.0"
"91","1282669.0"
"92","1622583.0"
"93","1644903.0"
"94","1407124.0"
"95","1173017.0"
