"d","SUM(toInteger(m.nb_hab))"
"1","0"
"2","0"
"3","3144"
"4","0"
"5","3216"
"6","23300"
"7","6668"
"8","11799"
"9","0"
"10","6318"
"11","0"
"12","4069"
"13","0"
"14","10215"
"15","0"
"16","8558"
"17","7411"
"18","8486"
"19","12802"
"20","0"
"21","211454"
"22","0"
"23","0"
"24","2564"
"25","7007"
"26","10680"
"27","0"
"28","5882"
"29","36614"
"30","253339"
"31","142051"
"32","2501"
"33","760505"
"34","356995"
"35","283937"
"36","4880"
"37","0"
"38","19926"
"39","0"
"40","20487"
"41","18878"
"42","0"
"43","2810"
"44","28575"
"45","236285"
"46","0"
"47","0"
"48","0"
"49","231668"
"50","9127"
"51","225008"
"52","0"
"53","2639"
"54","0"
"55","0"
"56","31914"
"57","13322"
"58","0"
"58","0"
"60","8317"
"61","0"
"62","7544"
"63","14323"
"64","8850"
"65","3066"
"66","30958"
"67","0"
"68","22835"
"69","5458"
"70","0"
"71","0"
"72","0"
"73","6315"
"74","13860"
"75","0"
"76","2535"
"77","11574"
"78","27410"
"79","0"
"80","8994"
"81","5782"
"82","4808"
"83","5181"
"84","0"
"85","82685"
"86","270290"
"87","30913"
"88","0"
"89","15185"
"90","0"
"91","4353"
"92","0"
"93","0"
"94","0"
"95","0"
